FLT_ORIG_DT,ACT_ORIG,ACT_DEST,FLT_NBR,DELAY_MIN,OPER_CARR,DELAY_REASON
1/4/2019,LAX,SJC,2228,4,QX,Cpt advised he needed Load Closeout print out at D-1 due to no service in area
1/4/2019,BUR,PDX,2500,2,QX,bur bag printer jammed at departure time unable to print paperwork
1/4/2019,SEA,PDX,2627,14,QX,"EFB INOP on 447 requiring LCR, and also had to call CLP multiple times to input correct FOB numbers to push A/C..DY"
1/4/2019,SEA,KTN,67,5,AS,"pst failure, had to go hard copy. IT Ticket:913990 Mo"
1/4/2020,PUW,SEA,2129,2,QX,DURING CHECK IN SEVERAL PNRS HAD FLIGHT COUPON REQUIRED. COMPUTER GLITCH CAUSED A SERIES OF PNRS TO BE UNASSOCIATED REQUIRING FIMMING AT TICKET COUNTER.
1/4/2020,PUW,SEA,2129,2,QX,DURING CHECK IN SEVERAL PNRS HAD FLIGHT COUPON REQUIRED. COMPUTER GLITCH CAUSED A SERIES OF PNRS TO BE UNASSOCIATED REQUIRING FIMMING AT TICKET COUNTER.
1/4/2020,SUN,SEA,2377,17,QX,7 min. all green at d5. deice crew contacting cpt. ground crew sees cpt on phone he states he is calling clp because he doesnt have final numbers. then he was ready.deiced for 10 min
1/4/2020,SJD,LAX,267,6,AS,Unable to PDC flight as INF On 9D was requiring DOCV even when Docs had bien previously and properly entered.Delayed due troubleshooting to get INF properly documented into the sys
1/4/2020,PHL,SEA,37,3,AS,IMAGE displaced a few pax and uncheck pax during IT TKT 1143301.
1/4/2020,SEA,SMF,610,3,AS,IPAD issue was not showing correct not on info for guest TKT 1143403. JB
1/4/2021,CMH,SEA,1193,18,AS,"Technology issues with no bag tags or boarding passes printing. IT Ticket Numbers 1329087 - 1329127, Manual bag tags assigned."
1/4/2021,SEA,PSC,2306,13,QX,"Ramp having issues with submitting numbers on PST, appeared to be S4A system freeze as multiple spots experienced the same issue, so there was a line to use the computer in the comm point. Had to submit manually on S4A. IT ticket 1329222. NEP/NMB"
1/4/2021,SEA,PSC,2306,13,QX,"Ramp having issues with submitting numbers on PST, appeared to be a system freeze as multiple spots experienced the same issue, so there was a line to use the computer in the comm point. Had to submit manually on S4A. IT ticket 1329222. NEP/NMB"
1/4/2022,SEA,IDA,2018,36,QX,PST crashed delaying submit time. Ramp also needed MTX help to close cargo net. IT 1527323 -KU
1/4/2022,LAX,PDX,371,5,AS,incorrect setting on unit caused comm issues with AC ACARS
1/4/2023,SEA,ORD,1472,11,AS,Ticket 1822793 RSAM kept logging agent out throughout flight then screen said unavailable. MCGEE loading aft past departure then loading CAGS then pulling equipment and hooking up pushback. eao.
1/4/2023,BNA,SEA,168,5,AS,iPads went down and had to manually board mid boarding. IT ticket number 1822525.-Meranda
1/4/2023,MSO,SEA,2160,8,QX,ACARS out at MSO station had to print load closeout and FOB not sending
1/4/2023,ANC,JNU,7096,17,AS,"ACARS down, Manual read-back of final numbers to flight crew"
1/4/2023,OGG,SEA,862,9,AS,"1823524 - Scanner issues, unable to claim assignment, app crashing."
1/5/2015,MCO,SEA,19,29,AS,clp had a problem with the system
1/5/2015,SJD,SJC,201,20,AS,smart4aviation sys down
1/5/2015,SEA,YVR,2264,5,QX,Spot 16 was having issues with their PST...had to call into compoint to get their numbers. CK Crew called back late boarding. Gate C16 started boarding at 0702 cleared at 0714. CK
1/5/2015,SEA,BOI,2390,10,QX,PST Failed at 1018 while confirming numbers. Had to verify numbers with compoint before running numbers with crew... 5 mins can go to S02 Gate C16A waiting for conx UM from 2383 that had been rebooked. CK Crew called back same pn
1/5/2015,BOS,PDX,33,12,AS,system wide s4a failure that did not allow us to get load plan until 1641 for 1705 departure
1/5/2015,SEA,SAN,494,16,AS,S4A went down-CLP had to run info manually-crew waiting on numbers. QG
1/5/2015,LAS,SEA,605,4,AS,s4a computers slow/outage
1/5/2015,TUS,SEA,641,4,AS,due to S4A system down not communicating with ACARS
1/5/2015,SEA,DFW,664,15,AS,"S4A went down, had troubles with the passenger count, CLP reverted to manual process. QG"
1/5/2015,GEG,SEA,693,3,AS,CLP submitted numbers but not received by a/c. DC called CLP and CLP read final counts to crew over radio. ab/eb
1/5/2015,YVR,LAX,704,5,AS,SMART 4 AVIATION SYSTEM DOWN. COULD NOT GET INTO THE FLIGHT FOR THE FINAL NBERS. CLP WAS ADVISED. FR BS
1/5/2015,SEA,SLC,726,12,AS,S4A went down and CLP had to revert to manual process to do final numbers. QG
1/5/2015,ATL,SEA,745,12,AS,Due to CLP system outage in SEA after door closure req to move 20 bags from pit 4 to pit 3 and remove jumpseater. DO
1/5/2015,BWI,SEA,767,11,AS,Load PLan was received at 1648.
1/5/2015,SEA,OGG,861,21,AS,Flight showed there was 150 lbs under and then it updated and showed overweight. Had to remove bags to get under weight. QG
1/5/2016,BOS,SEA,15,12,AS,Printer malfunction ticket number Im406477
1/5/2016,YYC,SEA,2115,4,QX,Ipad failed to connect to smartpax. Had to restart it 3 times before it would connect
1/5/2016,SEA,PUW,2156,6,QX,"Q12/C10F. Unlocked PST @ 1351 for 5 hot bags. Resubbed @ 1354. Final numbers in @ 1355. Crew unable to get final numbers, printed LCR @ 1400. fes.. crew called back CLP and ATC. DW"
1/5/2016,SEA,PDX,2181,6,QX,pst failed had to replace.pn
1/5/2016,ORD,SEA,21,7,AS,Boarding Computer Issue. Trouble Ticket SM156941.
1/5/2016,SEA,LWS,2217,3,QX,"sp1..crew said they were waiting for closeout report from clp, link was not going thru gj"
1/5/2016,PDX,BOI,2223,10,QX,LAA. FAs still grooming acft. Autho boarding at 1550(D-18 of new ETD). CA said he submitted fuel to CLP for close out and CLP did not receive. FOB:1623 Connectivity issues with CLP. -vl
1/5/2016,BLI,SEA,2329,2,QX,"S4a paperwork wouldnt print had to log out and back in, still didnt work had to swap computers to print and that computer was running slow which delayed loading"
1/5/2016,BOI,SJC,2403,3,QX,final numbers not received hard copy printed and given to crew//kid/ap//
1/5/2016,SAN,STS,2468,6,QX,computer glitch at d-10 and gate had difficulty oning last 2 passengers
1/5/2016,SJC,SLC,2586,5,QX,per capt his ipad would not communicate
1/5/2016,EUG,SEA,2588,13,QX,Image outage for check in and baggage check
1/5/2016,FLL,LAX,321,7,VX,CAPT HAD TO READJUST W/B DUE TO STRONG WINDS + MTOW + X FUEL
1/5/2016,LAS,SEA,619,6,AS,computer issues at gate. ticket im407147
1/5/2016,LAS,PDX,627,7,AS,GATE COMPUTER SHUT DOWN DURING BOARDING. TICKER NUMBER IM407147
1/5/2016,SEA,DFW,662,7,AS,"PST wont submit (failure), going to hard copy, Hshep"
1/5/2016,ORD,PDX,687,5,AS,Boarding computer kept freezing up. Had to manually on paxs. Trouble tix sm1569415
1/5/2016,SEA,BNA,734,13,AS,"PST would not log into flight, hshep"
1/5/2016,IAH,SEA,755,15,AS,SYSTEM OUTTAGE DURING BOARDING A/C
1/5/2016,BOI,LAX,9370,10,QX,waiting for final numbers from clp had to be resent 2 times//kid//
1/5/2017,ANC,OTZ,157,20,AS,smart would not accept bag count due to threshold exceeded. worked with clp for approx 20 minutes to force numbers thru
